	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR100911_c1_g1	166	76	337	100	94	84	82	69	33	160	138	140	144	115	
isogroupTR100919_c1_g1	279	113	301	118	124	401	134	97	252	167	471	218	312	192	
isogroupTR100919_c1_g2	2	0	0	0	1	2	0	0	3	1	0	0	0	0	
isogroupTR100920_c0_g1	2	4	3	2	2	1	1	1	1	3	6	5	7	1	
isogroupTR100927_c0_g1	11	2	51	12	16	4	10	9	1	6	6	9	22	14	
isogroupTR100933_c0_g1	8	17	17	22	24	5	10	6	4	3	12	3	5	6	
isogroupTR100944_c1_g1	7	1	6	2	3	9	5	7	1	8	5	6	3	3	
isogroupTR100952_c0_g1	1	4	21	9	12	9	6	7	5	5	11	4	15	4	
isogroupTR100956_c0_g1	44	56	155	91	69	16	80	43	10	37	66	67	112	65	
isogroupTR100968_c1_g1	10	5	12	4	1	12	2	1	5	2	9	8	15	4	
isogroupTR100994_c0_g1	54	35	143	39	30	45	57	28	22	31	54	50	57	27	
isogroupTR100995_c0_g1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	
isogroupTR101012_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR101043_c0_g1	0	0	3	0	0	0	1	0	0	1	1	0	0	0	
isogroupTR101043_c0_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR101065_c1_g1	0	0	1	0	0	1	2	1	1	1	3	3	0	0	
isogroupTR101079_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR101097_c0_g1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
isogroupTR101117_c0_g1	334	322	462	255	174	509	246	363	261	385	609	719	233	407	
isogroupTR101159_c0_g1	294	120	439	138	140	137	130	69	113	187	335	142	287	165	
isogroupTR101165_c0_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR101168_c0_g1	5	3	11	3	5	3	10	3	1	0	12	4	9	4	
isogroupTR101219_c0_g1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
isogroupTR101222_c0_g1	0	0	3	1	3	2	1	1	0	0	0	0	2	0	
isogroupTR101228_c0_g1	14	7	28	13	15	29	11	11	7	20	18	21	28	14	
isogroupTR101246_c0_g2	2	0	2	0	1	0	0	3	0	0	1	0	2	0	
isogroupTR101256_c0_g2	25	4	2	1	3	30	0	1	14	8	23	3	3	2	
isogroupTR101316_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR101342_c0_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR101358_c0_g1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR101363_c1_g2	1	1	0	0	2	4	1	0	0	0	1	0	1	0	
