	15C	15H	26C	26H	27C	27H	28C	28H	29C	29H	2C	2H	4C	4H	
isogroupTR164464_c3_g1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	
isogroupTR164464_c4_g1	4	4	13	5	1	7	4	1	1	4	7	7	6	1	
isogroupTR164464_c5_g1	0	0	3	2	1	1	0	1	1	0	0	0	3	1	
isogroupTR164464_c5_g2	0	1	1	0	1	1	0	0	0	0	2	0	1	1	
isogroupTR164464_c5_g3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	
isogroupTR164465_c4_g1	4	8	22	2	0	2	2	3	3	23	4	6	16	12	
isogroupTR164466_c3_g2	239	46	48	14	31	122	7	20	19	62	224	118	17	17	
isogroupTR164468_c1_g1	11	2	5	3	1	4	3	9	6	13	10	10	3	0	
isogroupTR164469_c0_g1	7	12	11	10	6	8	2	2	13	8	30	13	9	12	
isogroupTR164470_c6_g1	13	3	12	5	5	1	1	2	2	6	7	7	11	18	
isogroupTR164470_c7_g2	199	437	1013	1009	512	51	625	96	181	231	232	407	768	1074	
isogroupTR164470_c8_g1	3	3	0	3	1	0	1	0	0	0	9	0	4	5	
isogroupTR164471_c1_g1	23	21	28	10	10	4	13	10	2	6	7	5	24	22	
isogroupTR164472_c1_g1	124	54	168	50	62	93	54	57	72	140	173	97	86	54	
isogroupTR164473_c12_g1	7	4	7	3	1	10	3	5	1	8	4	8	8	6	
isogroupTR164473_c13_g2	139	83	297	115	133	211	153	184	98	166	239	315	117	118	
isogroupTR164473_c15_g1	13	6	13	9	7	20	4	5	14	28	20	16	21	9	
isogroupTR164474_c0_g1	21	2	5	0	0	2	2	0	5	3	4	4	3	3	
isogroupTR164475_c1_g1	16	9	37	20	3	9	19	19	8	9	13	8	14	12	
isogroupTR164475_c1_g2	0	0	2	0	1	0	3	1	0	0	0	0	0	1	
isogroupTR164476_c2_g1	5	4	13	14	12	8	11	1	5	22	15	9	21	9	
isogroupTR164476_c2_g3	13	4	31	11	7	6	14	1	10	14	20	3	20	4	
isogroupTR164477_c2_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR164477_c4_g2	16	8	435	147	165	359	175	298	52	741	246	508	86	89	
isogroupTR164477_c4_g6	10	1	15	2	12	6	6	5	3	9	14	19	12	7	
isogroupTR164480_c0_g2	129	107	9	3	26	137	2	1	100	123	152	142	54	85	
isogroupTR164481_c9_g12	135	81	70	43	90	143	61	63	53	62	164	135	87	57	
isogroupTR164481_c9_g7	82	29	56	21	38	55	29	26	34	58	90	86	46	47	
isogroupTR164481_c9_g9	1	0	8	2	3	1	1	0	2	2	8	11	12	4	
isogroupTR164482_c2_g2	20	14	12	11	13	9	10	13	8	39	34	22	18	17	
isogroupTR164483_c3_g1	343	145	1374	234	350	77	649	343	141	641	399	494	561	324	
isogroupTR164483_c4_g1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	
isogroupTR164484_c2_g1	7	7	28	14	18	15	14	16	5	10	22	32	25	30	
isogroupTR164487_c0_g5	1	1	1	5	2	1	2	2	0	3	1	2	6	2	
isogroupTR164488_c1_g1	68	56	133	59	72	70	43	20	27	59	93	81	71	88	
isogroupTR164489_c1_g1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	
isogroupTR164492_c4_g1	10	7	10	2	3	4	5	7	3	19	9	9	3	9	
isogroupTR164493_c6_g1	7	4	4	0	3	4	3	3	3	5	9	12	2	1	
isogroupTR164493_c7_g3	13	8	37	21	13	3	17	5	10	8	12	19	42	18	
isogroupTR164494_c3_g1	36	13	77	12	35	26	20	17	15	45	62	42	55	32	
isogroupTR164494_c4_g1	69	22	46	12	21	44	13	16	15	31	74	52	24	29	
isogroupTR164495_c0_g1	22	16	53	15	19	22	33	8	6	16	62	20	8	11	
isogroupTR164497_c2_g1	15	5	20	10	4	92	10	3	9	11	24	16	14	24	
isogroupTR164498_c0_g1	38	15	35	33	13	21	31	21	21	42	91	50	50	52	
isogroupTR164500_c7_g2	1	1	3	1	2	1	0	1	0	2	1	1	0	0	
isogroupTR164501_c0_g1	5	6	1	0	1	1	0	0	1	0	6	1	3	4	
isogroupTR164501_c1_g1	9	1	6	0	2	0	0	0	0	0	4	3	2	3	
isogroupTR164501_c1_g2	14	10	25	1	2	9	8	4	0	4	3	7	13	8	
isogroupTR164502_c8_g1	15	17	18	4	14	12	11	5	8	5	42	23	33	24	
isogroupTR164502_c9_g6	21	23	24	5	13	22	12	6	6	16	38	22	10	18	
isogroupTR164503_c12_g2	51	35	133	51	48	27	66	48	16	42	42	68	99	44	
isogroupTR164503_c13_g2	339	537	571	466	406	682	640	588	294	436	787	866	725	707	
isogroupTR164503_c9_g1	15	15	58	11	22	17	18	12	8	19	22	23	35	24	
isogroupTR164504_c0_g1	759	315	1111	262	396	656	457	333	422	510	904	604	511	335	
isogroupTR164505_c0_g1	114	82	383	91	107	38	101	35	109	86	226	119	256	163	
isogroupTR164506_c1_g1	61	4	85	32	7	21	16	31	7	34	37	23	19	10	
isogroupTR164506_c1_g4	55	29	92	30	69	37	48	26	23	44	66	69	59	40	
isogroupTR164508_c3_g1	18	10	32	8	15	12	8	3	13	10	24	13	22	18	
isogroupTR164511_c5_g3	8	4	10	3	4	3	3	1	2	3	3	1	3	1	
isogroupTR164512_c0_g2	13	17	42	6	21	12	6	3	7	13	1	2	23	15	
isogroupTR164513_c2_g1	4	6	12	11	4	2	8	3	2	5	12	8	10	18	
isogroupTR164515_c3_g2	5	4	3	4	2	0	0	0	0	5	2	4	2	0	
isogroupTR164515_c4_g1	276	158	234	155	91	676	109	143	141	249	382	302	166	229	
isogroupTR164515_c5_g1	136	94	251	107	115	125	115	76	84	127	196	126	182	129	
isogroupTR164517_c0_g1	21	3	24	3	13	1	4	0	3	5	22	5	6	3	
isogroupTR164519_c0_g1	14	11	38	10	15	9	20	8	10	16	22	24	8	13	
isogroupTR164520_c2_g1	92	61	224	88	58	38	88	27	54	70	137	91	110	91	
isogroupTR164520_c3_g3	2	3	23	1	3	5	12	2	0	1	28	21	6	5	
isogroupTR164520_c3_g4	0	2	10	5	1	5	11	0	3	3	9	4	7	3	
isogroupTR164523_c0_g1	9	1	19	7	10	4	7	10	4	8	17	17	22	5	
isogroupTR164523_c2_g1	10	8	19	8	9	9	8	10	0	13	13	5	7	1	
isogroupTR164524_c5_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR164524_c5_g4	21	10	17	3	7	19	4	9	1	4	3	4	21	18	
isogroupTR164524_c6_g2	65	25	121	24	23	28	23	17	22	41	86	43	35	37	
isogroupTR164524_c6_g4	5	3	44	17	15	4	15	3	8	1	6	4	12	8	
isogroupTR164525_c0_g1	2	2	12	1	2	0	1	1	0	0	2	2	2	0	
isogroupTR164525_c0_g2	9	3	13	4	9	29	7	4	12	12	40	29	2	4	
isogroupTR164525_c0_g5	1	4	8	7	5	8	7	2	2	1	9	3	0	6	
isogroupTR164525_c0_g6	19	10	26	19	13	23	20	18	4	15	20	17	7	23	
isogroupTR164525_c0_g7	10	4	17	1	2	9	3	2	1	8	11	9	2	2	
isogroupTR164525_c0_g8	0	0	1	1	1	0	4	0	0	0	0	0	0	0	
isogroupTR164525_c0_g9	4	3	11	3	3	8	2	4	0	2	15	5	6	4	
isogroupTR164527_c11_g1	43	36	42	26	50	41	29	21	48	24	117	60	82	75	
isogroupTR164527_c12_g14	4025	2282	5288	2236	1456	3895	1880	2001	2230	3804	6050	5467	2161	3799	
isogroupTR164527_c12_g5	5	1	1	0	0	0	0	5	1	3	3	6	0	3	
isogroupTR164527_c13_g1	2	1	5	4	1	1	1	3	2	0	3	2	3	1	
isogroupTR164527_c9_g1	13	6	17	14	17	6	8	7	8	5	28	17	15	26	
isogroupTR164528_c0_g1	35	11	18	11	8	34	9	4	17	10	34	13	8	5	
isogroupTR164532_c1_g1	11	8	33	20	9	18	12	16	5	27	30	23	10	23	
isogroupTR164534_c2_g3	6	5	23	17	4	1	9	4	2	11	21	26	12	10	
isogroupTR164535_c2_g1	370	83	391	69	99	188	78	86	68	221	276	161	143	103	
isogroupTR164536_c8_g1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	
isogroupTR164536_c9_g1	3	2	5	7	8	3	7	6	0	3	4	11	7	5	
isogroupTR164536_c9_g5	2	3	15	0	3	0	2	1	0	3	2	0	0	0	
isogroupTR164536_c9_g6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
isogroupTR164536_c9_g8	0	0	2	0	0	0	0	0	0	0	0	2	0	0	
isogroupTR164537_c6_g2	1384	1713	319	130	292	1776	87	147	156	387	1038	460	94	146	
isogroupTR164544_c4_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR164544_c5_g2	11	7	23	9	7	6	10	9	6	24	15	16	12	19	
isogroupTR164545_c0_g1	10	8	26	6	10	3	4	2	3	15	21	11	8	7	
isogroupTR164548_c0_g1	6	6	13	13	8	7	8	7	2	6	10	3	11	7	
isogroupTR164549_c1_g6	0	0	0	0	0	2	0	0	0	0	1	0	0	0	
isogroupTR164549_c2_g1	1	0	6	5	3	1	0	0	0	1	3	0	3	5	
isogroupTR164549_c2_g2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	
isogroupTR164549_c2_g3	0	0	0	0	0	0	0	1	0	1	0	2	0	0	
isogroupTR164551_c6_g1	26	63	90	61	8	70	38	53	3	88	12	82	19	57	
isogroupTR164551_c7_g1	0	1	1	2	0	0	0	1	2	3	2	3	0	1	
isogroupTR164551_c8_g2	15	8	14	5	3	9	4	5	4	9	6	12	8	12	
isogroupTR164553_c1_g1	1098	477	1568	564	440	667	500	511	290	808	936	849	822	642	
isogroupTR164554_c0_g1	11	1	31	7	29	5	29	6	6	6	27	9	23	9	
isogroupTR164555_c2_g1	42	12	76	17	24	20	22	12	15	42	27	26	17	19	
isogroupTR164558_c0_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR164559_c1_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
isogroupTR164559_c5_g1	29	17	29	26	23	25	19	18	19	27	45	31	79	67	
isogroupTR164561_c1_g1	4	1	21	7	6	0	8	0	2	1	6	7	11	3	
isogroupTR164563_c0_g1	7	7	10	9	18	8	9	2	2	9	17	18	11	7	
isogroupTR164564_c2_g1	236	105	345	101	104	169	121	71	107	149	367	184	223	128	
isogroupTR164564_c4_g1	47	17	107	22	29	9	14	16	10	22	49	37	49	35	
isogroupTR164565_c0_g1	45	15	123	50	31	63	46	38	29	89	63	109	44	65	
isogroupTR164567_c1_g1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	
isogroupTR164567_c5_g5	831	331	959	415	361	854	343	387	289	606	743	603	401	408	
isogroupTR164570_c0_g1	64	37	75	29	43	31	20	18	23	47	66	54	23	39	
isogroupTR164573_c2_g1	66	32	10	2	5	112	9	2	3	14	29	8	7	4	
isogroupTR164574_c5_g1	33	40	62	55	58	27	76	33	42	32	116	107	76	81	
isogroupTR164577_c0_g1	3	1	1	0	2	1	1	0	3	0	1	1	5	3	
isogroupTR164579_c0_g1	18	7	48	15	9	4	15	6	6	11	17	20	27	18	
isogroupTR164582_c0_g5	1	0	8	0	1	0	3	2	0	3	11	3	2	3	
isogroupTR164585_c2_g1	2	1	2	0	1	0	0	0	0	0	0	0	4	1	
isogroupTR164585_c2_g2	2	0	0	0	0	1	1	0	0	0	1	0	0	1	
isogroupTR164585_c2_g3	2	2	3	0	2	2	0	0	0	0	4	3	4	4	
isogroupTR164587_c2_g3	1	7	13	4	0	0	6	1	3	4	17	11	6	7	
isogroupTR164587_c2_g5	21	11	1	1	3	0	0	1	2	9	2	3	7	4	
isogroupTR164591_c0_g1	7	7	27	13	5	5	1	2	3	5	4	12	6	5	
isogroupTR164592_c4_g1	183	100	511	136	102	134	111	163	95	294	129	201	154	125	
isogroupTR164595_c5_g1	3	1	7	1	7	3	2	2	2	3	16	4	8	2	
isogroupTR164595_c7_g1	18	14	73	43	18	20	23	9	7	8	27	27	22	12	
isogroupTR164596_c0_g1	0	3	6	2	3	3	2	1	1	3	2	1	2	1	
isogroupTR164597_c2_g2	120	52	225	69	92	57	68	59	44	79	142	93	142	86	
isogroupTR164597_c2_g3	7	4	2	0	0	0	1	0	3	15	0	0	3	1	
isogroupTR164599_c12_g1	0	1	2	2	8	3	2	0	0	0	0	1	3	0	
isogroupTR164599_c14_g1	2	0	0	2	0	3	1	0	3	0	2	0	1	1	
isogroupTR164600_c8_g4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
isogroupTR164603_c1_g4	10	2	23	4	0	3	1	3	6	9	9	7	4	6	
isogroupTR164603_c1_g5	0	0	2	0	1	0	2	0	1	1	0	0	0	0	
isogroupTR164604_c0_g2	2	1	3	0	0	2	0	1	1	2	4	1	1	3	
isogroupTR164604_c1_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
isogroupTR164605_c1_g1	52	17	82	40	23	46	31	26	9	46	78	53	39	25	
isogroupTR164608_c3_g1	16	12	36	11	24	3	19	14	6	2	14	8	16	13	
isogroupTR164608_c3_g2	27	20	122	14	86	138	112	31	48	24	117	31	32	15	
isogroupTR164667_c0_g1	1	4	3	2	0	0	1	0	0	0	3	1	2	0	
isogroupTR164712_c0_g1	1	0	0	1	1	0	2	1	0	0	2	0	0	0	
isogroupTR164712_c1_g1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	
isogroupTR164719_c1_g1	0	1	0	0	1	2	0	1	1	0	0	1	0	0	
isogroupTR164736_c3_g1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	
isogroupTR164740_c0_g1	40	24	73	36	39	86	48	34	40	69	79	76	38	39	
isogroupTR164742_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR164745_c1_g1	0	2	2	1	0	1	2	1	0	1	4	3	1	1	
isogroupTR164761_c0_g2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR164782_c1_g1	8	8	19	4	7	5	2	1	7	5	11	12	8	3	
isogroupTR164811_c0_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroupTR164814_c1_g3	0	0	1	0	0	0	0	0	2	0	1	1	4	4	
isogroupTR164825_c0_g1	0	1	0	0	0	0	3	0	0	0	8	0	3	6	
isogroupTR164833_c1_g2	43	45	116	39	27	39	19	34	6	46	17	25	26	38	
isogroupTR164833_c1_g3	70	48	124	60	33	104	42	93	12	42	45	56	39	58	
isogroupTR164841_c0_g2	0	3	3	1	3	1	2	0	1	3	2	1	3	1	
isogroupTR164848_c0_g1	0	0	2	1	0	0	1	0	1	1	2	0	0	0	
isogroupTR164850_c0_g1	0	2	0	0	1	1	2	0	1	2	0	0	0	0	
isogroupTR164869_c0_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR164869_c0_g3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroupTR164872_c0_g1	5	2	6	1	12	2	3	2	1	3	6	3	5	2	
isogroupTR164873_c0_g1	0	0	6	3	1	1	1	1	2	0	2	3	1	0	
isogroupTR164874_c0_g1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
isogroupTR164878_c1_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroupTR164888_c0_g1	9	3	36	7	10	4	10	15	1	9	9	18	12	7	
isogroupTR164892_c3_g1	1	0	10	6	21	7	5	2	9	24	24	17	4	2	
isogroupTR164892_c4_g2	102	50	182	53	63	65	52	54	41	113	173	148	91	84	
isogroupTR164893_c7_g1	10	4	11	2	5	10	11	0	5	8	2	11	12	3	
isogroupTR164893_c8_g1	4	6	28	8	10	5	7	7	8	8	6	11	13	14	
isogroupTR164893_c9_g1	21	16	75	21	27	19	19	19	17	43	49	39	39	27	
isogroupTR164894_c1_g1	5	3	21	10	12	9	10	10	1	5	6	7	3	1	
isogroupTR164894_c2_g1	190	88	277	90	117	91	126	41	77	148	238	118	134	180	
isogroupTR164896_c0_g2	1	6	21	7	8	9	1	5	2	28	20	24	9	12	
isogroupTR164897_c5_g2	8	9	34	5	8	6	8	6	3	15	4	19	12	10	
isogroupTR164897_c6_g3	11	4	28	9	10	2	6	5	11	10	17	12	17	9	
isogroupTR164898_c1_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR164899_c3_g1	9	13	48	12	17	7	10	10	6	13	25	29	16	26	
isogroupTR164899_c4_g1	6	17	35	26	21	8	7	4	8	4	26	19	35	25	
isogroupTR164900_c1_g1	13	17	77	35	29	12	33	16	16	31	27	22	27	20	
isogroupTR164902_c1_g1	0	2	2	1	5	0	2	0	0	0	0	0	3	1	
isogroupTR164902_c1_g4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR164903_c1_g1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
isogroupTR164903_c2_g5	53	37	214	68	64	68	41	34	27	68	96	81	68	72	
isogroupTR164909_c2_g1	0	1	2	0	2	0	1	0	0	0	0	4	0	0	
isogroupTR164909_c5_g1	103	29	103	33	48	37	50	28	11	61	98	52	96	50	
isogroupTR164909_c6_g1	381	196	697	181	168	340	160	150	161	428	366	285	245	226	
isogroupTR164910_c3_g1	0	1	2	1	1	0	1	0	0	2	1	1	5	4	
isogroupTR164910_c4_g2	4	12	17	14	6	24	5	10	8	5	13	3	17	16	
isogroupTR164911_c4_g2	192	84	310	152	118	119	116	101	37	145	210	198	207	140	
isogroupTR164912_c3_g1	1	14	12	9	7	2	16	5	16	6	17	4	18	15	
isogroupTR164912_c4_g1	9	12	22	12	12	29	10	13	15	12	31	14	15	20	
isogroupTR164913_c0_g1	0	1	0	0	0	0	0	0	0	0	9	15	2	0	
isogroupTR164914_c3_g1	18	16	33	17	20	10	21	7	5	8	36	27	38	26	
isogroupTR164915_c7_g1	51	21	45	13	12	21	9	8	15	30	36	14	21	14	
isogroupTR164919_c4_g1	2	2	3	3	3	0	3	1	0	2	6	10	4	4	
isogroupTR164919_c5_g2	0	2	8	5	10	5	3	0	4	8	7	13	10	9	
isogroupTR164920_c6_g3	0	0	2	3	3	0	4	1	0	2	0	0	1	2	
isogroupTR164920_c9_g1	993	460	1337	514	570	635	504	408	369	766	1190	735	651	495	
isogroupTR164922_c3_g2	1	1	1	2	3	4	2	2	1	0	3	5	1	1	
isogroupTR164922_c3_g3	1	2	5	2	3	1	1	0	1	0	6	4	1	3	
isogroupTR164923_c1_g2	1	0	5	0	2	3	1	0	0	4	0	5	2	1	
isogroupTR164923_c2_g2	116	70	261	71	117	75	85	61	51	175	209	144	142	134	
isogroupTR164923_c2_g3	66	39	203	39	91	15	80	46	10	31	36	37	80	46	
isogroupTR164926_c1_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR164926_c2_g1	105	160	442	139	73	43	121	73	48	202	141	150	119	111	
isogroupTR164927_c2_g1	65	142	174	222	257	184	236	78	135	76	223	150	199	287	
isogroupTR164927_c7_g6	11	12	44	34	31	5	32	7	8	7	41	18	33	19	
isogroupTR164927_c8_g1	35	33	80	43	40	20	34	21	11	37	64	46	49	33	
isogroupTR164928_c2_g1	2	0	1	3	1	0	3	2	0	1	2	0	0	0	
isogroupTR164928_c7_g1	207	56	231	107	78	23	150	49	127	51	305	86	96	65	
isogroupTR164929_c8_g6	80	16	103	18	22	54	20	26	18	77	61	46	40	40	
isogroupTR164930_c2_g3	34	52	103	86	85	41	62	31	47	59	58	53	64	71	
isogroupTR164930_c2_g4	139	120	472	146	256	152	134	109	52	106	268	215	185	145	
isogroupTR164932_c3_g1	7	6	9	4	28	11	7	5	2	3	11	5	8	3	
isogroupTR164932_c3_g2	5	12	7	5	11	7	5	0	6	11	23	13	1	7	
isogroupTR164932_c3_g3	3	8	13	4	0	2	4	0	0	4	7	11	10	8	
isogroupTR164933_c12_g3	91	65	355	120	88	326	111	86	103	171	107	129	135	85	
isogroupTR164934_c1_g5	9	5	21	6	18	11	10	1	1	2	11	2	17	22	
isogroupTR164934_c2_g3	40	26	32	28	22	23	23	18	8	14	15	21	45	58	
isogroupTR164936_c7_g1	8	11	39	30	32	28	23	20	7	15	29	33	7	3	
isogroupTR164936_c7_g3	0	0	2	0	0	1	2	0	0	1	0	1	0	0	
isogroupTR164936_c8_g1	125	42	386	100	109	75	141	106	60	216	163	177	213	146	
isogroupTR164936_c8_g12	133	82	166	60	55	225	44	68	93	147	181	194	126	94	
isogroupTR164936_c8_g19	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
isogroupTR164936_c8_g3	24	25	118	96	28	42	82	45	23	31	46	54	35	73	
isogroupTR164937_c2_g1	14	10	17	6	19	25	5	12	8	17	22	19	13	7	
isogroupTR164938_c4_g2	8	5	8	3	5	2	2	3	4	4	3	5	5	7	
isogroupTR164938_c4_g3	13	11	57	15	22	5	20	9	8	10	13	26	31	14	
isogroupTR164938_c5_g10	6	1	1	3	1	2	5	1	1	1	2	0	2	3	
isogroupTR164940_c1_g1	50	36	155	38	40	24	69	36	35	65	68	80	92	64	
isogroupTR164942_c8_g2	4	15	2	0	8	2	0	1	1	0	14	4	2	10	
isogroupTR164942_c8_g3	3	0	6	1	1	0	3	9	1	1	2	4	1	0	
isogroupTR164942_c9_g1	58	21	50	8	35	45	12	20	16	42	21	6	95	72	
isogroupTR164942_c9_g3	0	0	4	2	0	0	1	1	0	0	0	0	0	0	
isogroupTR164944_c1_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroupTR164944_c8_g1	3	2	4	2	4	0	2	4	0	5	3	4	5	2	
isogroupTR164944_c9_g1	186	124	317	79	135	105	89	45	63	246	307	246	192	121	
isogroupTR164944_c9_g2	48	49	91	47	29	69	47	30	32	119	82	95	29	29	
isogroupTR164946_c13_g1	32	5	33	6	9	4	12	6	5	13	51	9	8	9	
isogroupTR164946_c15_g1	321	277	691	304	272	246	292	143	304	338	538	356	339	374	
isogroupTR164947_c7_g1	95	37	151	34	131	69	43	43	48	68	120	87	59	64	
isogroupTR164947_c8_g1	4	2	9	7	4	4	4	8	2	8	14	10	9	7	
isogroupTR164947_c9_g1	243	106	376	151	199	170	188	122	139	208	328	241	208	146	
isogroupTR164948_c1_g1	431	167	776	287	243	286	340	202	251	291	613	434	335	278	
isogroupTR164948_c2_g1	222	133	225	133	142	184	214	98	175	163	285	177	183	170	
isogroupTR164949_c2_g1	30	36	89	32	36	18	36	17	13	20	49	42	45	47	
isogroupTR164949_c3_g13	95	43	290	100	59	88	88	68	51	201	52	89	129	76	
isogroupTR164950_c1_g1	0	1	1	0	0	25	0	0	6	4	0	0	1	0	
isogroupTR164950_c2_g3	0	1	2	0	0	17	1	0	7	4	0	3	2	1	
isogroupTR164951_c0_g3	0	0	1	1	0	1	3	0	0	0	2	2	1	0	
isogroupTR164951_c1_g2	1	2	8	0	4	0	2	1	0	5	3	1	4	0	
isogroupTR164953_c1_g2	64	59	342	143	151	23	108	50	18	89	74	92	174	104	
isogroupTR164954_c3_g4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	
isogroupTR164954_c3_g6	3	0	17	3	7	6	2	4	1	8	2	2	7	1	
isogroupTR164955_c1_g1	0	2	3	0	3	1	1	0	0	2	1	4	2	0	
isogroupTR164955_c5_g2	0	0	12	2	5	4	5	5	6	4	2	5	21	9	
isogroupTR164955_c6_g2	36	38	67	39	49	22	31	14	23	17	54	44	41	51	
isogroupTR164955_c7_g1	210	106	251	95	101	99	91	71	87	217	151	145	247	178	
isogroupTR164956_c6_g1	53	35	77	41	29	63	31	34	34	70	75	42	42	33	
isogroupTR164958_c2_g2	2	1	34	17	1	1	10	11	1	4	4	1	18	24	
isogroupTR164958_c6_g2	65	34	101	19	41	79	22	21	29	72	111	71	61	52	
isogroupTR164959_c2_g2	23	15	3	3	1	2	4	1	1	7	4	8	2	7	
isogroupTR164959_c2_g3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroupTR164960_c2_g1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	
isogroupTR164960_c5_g2	3	2	10	2	6	7	2	1	4	23	3	1	3	8	
isogroupTR164960_c5_g3	2	2	1	0	1	0	0	0	1	2	8	5	1	1	
isogroupTR164960_c6_g1	9	3	17	3	1	0	6	1	4	2	7	3	5	2	
isogroupTR164962_c4_g5	12	24	26	10	24	17	6	7	12	13	20	11	25	17	
isogroupTR164963_c0_g2	0	0	1	1	1	1	1	1	0	7	5	22	1	3	
isogroupTR164963_c0_g4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR164963_c0_g6	0	0	1	0	0	0	0	1	2	8	1	6	0	0	
isogroupTR164964_c3_g1	1	0	0	2	1	0	1	0	0	1	0	0	2	1	
isogroupTR164964_c4_g1	23	35	49	25	26	13	8	9	9	26	35	14	22	26	
isogroupTR164964_c4_g3	49	35	100	52	80	100	50	25	18	51	89	49	105	59	
isogroupTR164966_c6_g1	5	5	18	7	13	6	8	2	20	60	8	13	60	28	
isogroupTR164967_c1_g1	66	10	11	4	17	25	3	3	13	25	59	24	8	7	
isogroupTR164969_c0_g10	214	97	546	141	344	355	169	97	165	333	259	212	362	309	
isogroupTR164969_c0_g16	1442	487	1619	374	449	1178	645	630	662	870	1263	1111	618	615	
isogroupTR164969_c0_g8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroupTR164972_c3_g2	81	44	91	20	74	40	40	23	31	78	100	90	37	29	
isogroupTR164972_c4_g4	16	18	48	13	24	5	24	23	2	12	47	41	33	14	
isogroupTR164972_c5_g3	1	7	5	3	6	2	1	5	1	0	16	4	2	2	
isogroupTR164972_c5_g6	0	1	2	0	0	1	0	0	0	2	4	1	0	0	
isogroupTR164973_c5_g2	9	3	16	9	12	2	11	6	3	6	6	7	11	4	
isogroupTR164976_c1_g1	0	0	3	0	1	0	1	0	3	1	0	2	0	0	
isogroupTR164976_c2_g1	2	0	15	4	3	3	3	6	3	10	6	10	0	1	
isogroupTR164977_c6_g2	26	6	31	9	15	12	8	6	6	18	11	15	7	7	
isogroupTR164980_c5_g1	33	11	30	15	4	6	10	5	8	17	30	6	36	5	
isogroupTR164981_c2_g1	0	1	1	2	0	0	1	1	0	0	0	1	0	1	
isogroupTR164981_c3_g4	0	2	7	3	7	7	3	7	2	2	6	2	3	3	
isogroupTR164982_c8_g1	0	1	1	0	0	1	0	0	3	0	1	1	2	0	
isogroupTR164982_c9_g1	10	15	35	15	11	11	20	6	8	10	9	16	21	30	
isogroupTR164984_c18_g1	258	89	322	90	106	262	102	100	82	271	306	249	191	143	
isogroupTR164985_c0_g3	44	13	45	10	8	6	15	16	5	11	24	33	29	17	
isogroupTR164985_c0_g5	25	26	71	22	22	29	31	18	28	39	48	38	29	16	
isogroupTR164989_c5_g2	67	50	189	58	73	36	64	27	52	59	93	96	68	72	
isogroupTR164990_c9_g3	296	179	519	120	298	276	164	104	93	288	277	332	334	260	
isogroupTR164991_c6_g1	4	3	19	2	1	3	6	5	3	7	13	6	7	5	
isogroupTR164991_c6_g2	19	10	92	29	17	42	22	32	39	109	110	69	28	45	
isogroupTR164991_c7_g1	7	1	164	18	12	5	30	13	4	7	20	17	40	26	
isogroupTR165055_c0_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroupTR165124_c2_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroupTR165130_c0_g1	32	15	83	21	14	21	24	25	17	22	33	53	48	38	
isogroupTR165141_c0_g1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	
isogroupTR165144_c0_g1	8	0	6	3	1	11	1	5	0	8	14	13	2	3	
isogroupTR165175_c0_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroupTR165189_c0_g1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
